skill_code,base_skill_code,skill_name,skill_family,skill_theme,skill_type,environment,environment_code,tidal_regime,tidal_code,timescale,timescale_code,spatial_scale,spatial_code,data_modality,primary_output,hazard_focus,wave_exposure_typical,sediment_balance_typical,method_stage,family_order,skill_order,environment_order,tide_order,timescale_order,spatial_order,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,node_value,spatial_letter,family_letter,skill_letter,environment_letter,skill_name_short,short_code,short_code_label,legend_skill,legend_environment,legend_spatial,legend_family,skill_family_display,skill_name_display,environment_display,outer_code_display
OBS1.SB.MI.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,1,3,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.MI.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,1,3,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.SB.MI.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,1,4,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.MI.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,micro,MI,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,1,4,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.SB.ME.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,2,3,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.ME.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,2,3,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.SB.ME.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,2,4,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.ME.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,meso,ME,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,2,4,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.SB.MA.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,3,3,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.MA.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,3,3,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.SB.MA.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,3,4,3,subregional,Observations,sandy beach,EOES,,,1,E,O,E,S,E,EOES,EOES,E = Satellite-derived shoreline extraction,S = sandy beach,E = subregional / embayment,O = Observations,O,E,S,EOES
OBS1.SB.MA.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,sandy beach,SB,macro,MA,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,1,3,4,4,regional,Observations,sandy beach,ROES,,,1,R,O,E,S,E,ROES,ROES,E = Satellite-derived shoreline extraction,S = sandy beach,R = regional,O = Observations,O,E,S,ROES
OBS1.BI.MI.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,micro,MI,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,1,3,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.MI.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,micro,MI,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,1,3,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.BI.MI.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,micro,MI,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,1,4,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.MI.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,micro,MI,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,1,4,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.BI.ME.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,meso,ME,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,2,3,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.ME.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,meso,ME,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,2,3,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.BI.ME.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,meso,ME,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,2,4,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.ME.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,meso,ME,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,2,4,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.BI.MA.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,macro,MA,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,3,3,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.MA.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,macro,MA,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,3,3,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.BI.MA.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,macro,MA,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,3,4,3,subregional,Observations,barrier island,EOEB,,,1,E,O,E,B,E,EOEB,EOEB,E = Satellite-derived shoreline extraction,B = barrier island,E = subregional / embayment,O = Observations,O,E,B,EOEB
OBS1.BI.MA.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,barrier island,BI,macro,MA,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,3,3,4,4,regional,Observations,barrier island,ROEB,,,1,R,O,E,B,E,ROEB,ROEB,E = Satellite-derived shoreline extraction,B = barrier island,R = regional,O = Observations,O,E,B,ROEB
OBS1.EL.MI.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,micro,MI,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,1,3,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.MI.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,micro,MI,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,1,3,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
OBS1.EL.MI.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,micro,MI,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,1,4,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.MI.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,micro,MI,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,1,4,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
